training_name,reference_date,location,horizon,WIS,MAE
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,38,2,0.21868447403275404,0.4700036292457355
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,38,3,0.34009783944658006,1.0414538748281612
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,39,0,1.2204993107063058,1.443514501449782
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,39,1,0.11385524788176306,0.13613217432458002
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,39,2,0.10532569112640594,0.0808520966290951
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,39,3,0.19650393840497907,0.3001045924503378
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,40,0,0.21045226688398652,0.4100209246440252
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,40,1,0.13291308150564696,0.048790164169431716
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,40,2,0.14225470155002914,0.03278982282299081
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,40,3,0.1455234079577066,0.0064308903302903175
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,41,0,0.13406045924040969,0.1300531282481978
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,41,1,0.17197925969766487,0.14265630040152333
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,41,2,0.341794774489512,0.5690945318899665
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,41,3,0.2551462930793726,0.46884555152510776
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,42,0,0.050510645778064966,0.046074556526240595
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,42,1,0.07589332976047254,0.1286279197288085
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,42,2,0.08974648479703633,0.10969891725642444
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,42,3,0.08281772083112929,0.028323155820026535
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,44,0,0.3512863782674158,0.5784842722398055
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,44,1,0.24398028018922607,0.5257142362597415
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,44,2,0.22426598241067758,0.2876820724517808
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,44,3,0.23154283352730093,0.005540180375615211
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,45,0,0.10492364953241894,0.05511929922107939
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,45,1,0.2403584416100068,0.4115074225641271
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,45,2,0.17654525399709906,0.2674793651342613
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,45,3,0.2420742049979271,0.41137354479433075
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,46,0,0.23914293488511917,0.325422400434628
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,46,1,0.25806218952237614,0.49703230163365486
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,46,2,0.2563233808068743,0.6931471805599453
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,46,3,0.23725224029828845,0.14310084364067333
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,47,0,0.05891523010095809,0.05575001510449207
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,47,1,0.08041047461258345,0.14646818365524217
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,47,2,0.0714050065737985,0.09190136228382162
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,47,3,0.08985930005413897,0.09422549696767613
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,48,0,0.06830339423114634,0.07678296260302542
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,48,1,0.12858156941455284,0.2217981087970875
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,48,2,0.12152018458505469,0.1627769607209837
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,48,3,0.12369287738633858,0.14405911451117692
