,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"z[18, 2025-2026, OR]",-0.0062881247227627715,0.05370646826582539,-0.08262848411194039,0.08602854190588007,776.4886074272433,429.5471261952293,1.009798702725041,0.001969224766698047,0.0013883133969017562
"z[18, 2025-2026, PA]",-0.040310517434708544,0.058792127874371596,-0.13054612264167326,0.05785414222117857,448.93705486174105,268.8650375726669,1.0120880511837511,0.0027436856543545736,0.0018727312409545387
"z[18, 2025-2026, RI]",-0.055645735197847816,0.05309046076954325,-0.14340750336156563,0.021819880971938505,779.0229172024973,396.35288729755615,1.0038917177470557,0.0018698493939919027,0.0013762629104348183
"z[18, 2025-2026, SC]",-0.04340560120431514,0.05223649457750468,-0.12749767782173607,0.04317326300217127,771.651802455311,375.2081726566166,1.0153226261778971,0.0018901392969100845,0.0012461902341552114
"z[18, 2025-2026, SD]",-0.027559663369805535,0.05057730668269174,-0.10462243132747752,0.058114938823389126,674.1484043998495,432.9205779715191,1.0005204411981523,0.0019515197721153457,0.0013449218540249413
"z[18, 2025-2026, TN]",0.005058616820098914,0.049722819913168424,-0.0747009541453579,0.08306706521253267,579.4838601168099,277.4296427186138,1.0204690512418049,0.0020479947385689395,0.0014285660628273011
"z[18, 2025-2026, TX]",0.07537430885311103,0.05356378937560027,-0.016945855255023075,0.15620681233283099,643.7413004385625,327.8034839412086,1.0111528187260934,0.0020974073127436096,0.0013677775895821111
"z[18, 2025-2026, UT]",0.08823337863124975,0.05409038696644478,-0.0065161102354714465,0.16875689260882745,787.8477364393135,338.4388117851695,1.0189033174060997,0.0019665006748451007,0.0013841343025700512
"z[18, 2025-2026, VT]",0.04761639074495054,0.049038333508985746,-0.031345137123051904,0.12774539390382483,597.2462324733667,228.70267893691525,1.0122464360591465,0.002003981457460833,0.0014826289029287543
"z[18, 2025-2026, VA]",0.08483491828395044,0.046534028902212796,0.012363666967755333,0.15851152252443135,479.3774630169878,429.50930214464006,0.9999224739217065,0.00223964634864616,0.0013459911599548434
"z[18, 2025-2026, WA]",0.10499737254368957,0.04923089912835038,0.02573454140798688,0.18501509030792979,624.457878210378,375.51030568555166,1.0111936292676207,0.001983192449024563,0.0013250515070907852
"z[18, 2025-2026, WV]",0.07891313671450308,0.04484087471833333,0.0070131144827003935,0.14755785983403366,685.4639112879861,420.63756321754715,1.0024426897391607,0.0017339799952902108,0.001192722434544309
"z[18, 2025-2026, WI]",0.017599420391293495,0.04640605266725801,-0.06039539483010059,0.08743663721197113,682.7406968589739,335.6494002770904,1.0004361479773995,0.0018092774382299727,0.0013208697340597317
"z[18, 2025-2026, WY]",-0.057535388847896156,0.04912101890457061,-0.13718298728010528,0.02407479797016006,643.3267885590316,318.85429569525826,1.0059274676918994,0.0019497445379792373,0.0013185625137563093
"z[18, 2025-2026, PR]",-0.09396637125520274,0.04803264486718413,-0.16952924139820938,-0.014076130333152045,725.160241639388,390.9452727826185,1.0093234302030198,0.0017833147419282552,0.0013729236556061916
"z[19, 2023-2024, AL]",-0.0822467715177737,0.04855751638239862,-0.15938765652094602,-0.012645545442490155,748.9734221064955,394.4651579383442,1.0025806015006167,0.0017056939637517903,0.0010445018428299853
"z[19, 2023-2024, AK]",-0.04365007460136958,0.05068308755533318,-0.12507364912762894,0.03409966907946403,601.5423167257516,323.9283396568857,0.9997320388472776,0.0020675617463869404,0.0014748943749085329
"z[19, 2023-2024, AZ]",-0.004774030445663446,0.05304533588593289,-0.08639901523920288,0.07609776917001054,675.6044370855954,284.053615584351,1.0016053724008456,0.0020609908959592833,0.0014161183488706679
"z[19, 2023-2024, AR]",-0.016780682460714624,0.05531486840295194,-0.10896883490750225,0.06877763480242839,698.1855877338442,310.77316939053304,1.025193336868451,0.0021129285309691554,0.001491728322132373
"z[19, 2023-2024, CA]",-0.058236470894714606,0.055754273461508394,-0.15268909094231134,0.028053033367184628,628.8418646896105,405.3473901126653,1.0140630808623183,0.0022279259419856305,0.0014237998292766338
"z[19, 2023-2024, CO]",-0.05956387253218951,0.05237227523866563,-0.14897084933308782,0.017324636904114215,564.2098829917131,311.9583382667211,1.0065392395877124,0.002190684598287723,0.0015896567261346228
"z[19, 2023-2024, CT]",-0.03178851958037425,0.05129139053972196,-0.11500784383713131,0.052956304679616296,664.2728354516225,330.08842339597663,1.0102502612401032,0.0019855410858815622,0.0014524934370255484
"z[19, 2023-2024, DE]",0.0063775687360475295,0.053672537046754315,-0.07970612514907499,0.09135169789617932,756.3766443537959,360.9178569355201,1.01905319604783,0.0019547127847383324,0.001347637334959871
"z[19, 2023-2024, DC]",0.024774907908156108,0.05344725486482316,-0.05664081115964819,0.10922826626362829,761.096116176085,383.46424247844726,1.0074092019918588,0.001926123463917706,0.0014629818490243167
"z[19, 2023-2024, FL]",0.013745922746190721,0.057686106628146654,-0.07991189370316934,0.10083773466547977,774.506266431166,314.5703691172372,1.006838239332139,0.0020716524540011494,0.0014475849143206906
"z[19, 2023-2024, GA]",0.0031331220450072973,0.06193977860210931,-0.09753940341704523,0.10247228842375053,876.7565547437121,256.5785548063728,1.0014438498302638,0.002108095107116081,0.001432058376554386
"z[19, 2023-2024, HI]",0.0,0.0,0.0,0.0,400.0,400.0,,0.0,
"z[19, 2023-2024, ID]",0.013705427403326621,0.04306825441526394,-0.05768335028345681,0.08611319030794003,839.3664141560979,352.9399694255491,1.0050767285125397,0.0015081405197947227,0.0010286296226140394
"z[19, 2023-2024, IL]",0.05771738414010104,0.048194076946734866,-0.018675574144327273,0.1366113973090094,666.2572478070772,301.81600624273733,1.0035187643468477,0.0018843792857967392,0.0012530342171168923
"z[19, 2023-2024, IN]",0.10361558217363698,0.05305813482216026,0.01838731416109188,0.18464833924668136,709.9073170839454,369.4520856612664,1.0014281120428188,0.0020249343327100274,0.0014712858750305744
"z[19, 2023-2024, IA]",0.11939944626660261,0.05622652633000402,0.03373369791225878,0.21289088246341867,619.2512583676112,220.93545489541907,1.0147261396806004,0.0022790844968172616,0.0017072077912753882
"z[19, 2023-2024, KS]",0.08205213277063036,0.05459691658475528,-0.003867135865035336,0.17636012528256254,705.6619116703633,341.1723880009168,1.0087056161904484,0.00204545273643638,0.0014954468403839656
"z[19, 2023-2024, KY]",-0.0053185486922462544,0.05272977353504339,-0.08746272129993252,0.07603930711366051,1040.823996531185,408.1753747837931,1.0110781453019704,0.0016466862991159755,0.001055760919090025
"z[19, 2023-2024, LA]",-0.09208992032844827,0.05284907851913873,-0.1751351815621358,-0.007617139589188817,706.1934178478193,433.72340809766297,0.9989010196306906,0.00197638267534287,0.0013551436062916662
"z[19, 2023-2024, ME]",-0.1459901976545033,0.05759295703499289,-0.24347563329944408,-0.05186402023495515,745.8032184333446,108.225429306434,1.0371780635416012,0.002176442010862078,0.0015765710138029442
"z[19, 2023-2024, MD]",-0.17104696458616808,0.05414827274460476,-0.26146889188313077,-0.08481429730710102,699.5921395123559,300.5215934450691,1.0148651234263182,0.002056899562912991,0.0014027478585789883
"z[19, 2023-2024, MA]",-0.15713762595444775,0.05065139677850993,-0.24143208367792887,-0.08139688754108637,665.6238243247236,311.7189305502421,0.9994800295656734,0.002010285443748043,0.0014843126559250482
"z[19, 2023-2024, MI]",-0.09241710542107999,0.05613048874204864,-0.17899937337246288,-0.0012433081254904087,634.2983327231888,347.70663737715967,1.005537566718888,0.002260524919498327,0.001614750260039121
